"Date(s)
conducted",Polling organisation/client,Sample size,Con,Lab,UKIP,Lib Dem,SNP,Green,Others,Lead,Year
9–10 May,YouGov/The Times,1651,46.0,30.0,5.0,11.0,6.0,2.0,1.0,16.0,2017.0
5–9 May,Panelbase,1027,48.0,31.0,5.0,8.0,4.0,2.0,2.0,17.0,2017.0
4–8 May,Kantar Public,1201,44.0,28.0,8.0,11.0,4.0,5.0,1.0,16.0,2017.0
5–7 May,ICM/The Guardian,2038,49.0,27.0,6.0,9.0,4.0,3.0,1.0,22.0,2017.0
5–6 May,Survation/Good Morning Britain,1005,47.0,30.0,4.0,7.0,5.0,3.0,3.0,17.0,2017.0
4–5 May,YouGov/Sunday Times,1644,47.0,28.0,6.0,11.0,5.0,2.0,1.0,19.0,2017.0
3–5 May,ICM/Sun on Sunday,2020,46.0,28.0,8.0,10.0,4.0,4.0,,18.0,2017.0
2–3 May,Opinium/Observer,2005,46.0,30.0,7.0,9.0,4.0,2.0,1.0,16.0,2017.0
2–3 May,YouGov/The Times,2066,48.0,29.0,5.0,10.0,5.0,2.0,1.0,19.0,2017.0
28 Apr–2 May,Panelbase,1034,47.0,30.0,5.0,10.0,5.0,2.0,1.0,17.0,2017.0
28 Apr–2 May,ICM/The Guardian,1970,47.0,28.0,8.0,8.0,3.0,4.0,1.0,19.0,2017.0
27 Apr–2 May,Kantar Public,1205,48.0,24.0,7.0,11.0,4.0,4.0,2.0,24.0,2017.0
27–28 Apr,YouGov/Sunday Times,1612,44.0,31.0,6.0,11.0,4.0,2.0,2.0,13.0,2017.0
26–28 Apr,ICM/Sun on Sunday,2012,47.0,28.0,8.0,9.0,4.0,4.0,,19.0,2017.0
25–28 Apr,Opinium/Observer,2007,47.0,30.0,7.0,8.0,5.0,3.0,1.0,17.0,2017.0
25–26 Apr,YouGov/The Times,1590,45.0,29.0,7.0,10.0,5.0,3.0,1.0,16.0,2017.0
21–25 Apr,Ipsos MORI/Evening Standard,1004,49.0,26.0,4.0,13.0,4.0,1.0,4.0,23.0,2017.0
21–24 Apr,ICM/The Guardian,2024,48.0,27.0,7.0,10.0,4.0,3.0,1.0,21.0,2017.0
20–24 Apr,Panelbase,1026,49.0,27.0,5.0,10.0,5.0,3.0,1.0,22.0,2017.0
20–24 Apr,Kantar Public,1196,46.0,24.0,8.0,11.0,5.0,4.0,1.0,22.0,2017.0
Pre-23 Apr,Norstat/Sunday Express,1036,42.0,26.0,8.0,10.0,,6.0,8.0,16.0,2017.0
21–22 Apr,Survation/Mail on Sunday,2072,40.0,29.0,11.0,11.0,4.0,2.0,3.0,11.0,2017.0
20–21 Apr,YouGov/Sunday Times,1590,48.0,25.0,5.0,12.0,6.0,3.0,1.0,23.0,2017.0
19–21 Apr,ICM/ITV,2027,48.0,26.0,8.0,10.0,4.0,3.0,2.0,22.0,2017.0
19–20 Apr,ComRes/Sunday Mirror,2074,50.0,25.0,7.0,11.0,4.0,3.0,1.0,25.0,2017.0
19–20 Apr,Opinium/Observer,2003,45.0,26.0,9.0,11.0,4.0,3.0,1.0,19.0,2017.0
2–20 Apr,YouGov,12746,44.0,25.0,9.0,12.0,6.0,3.0,1.0,19.0,2017.0
18–19 Apr,YouGov/The Times,1727,48.0,24.0,7.0,12.0,6.0,2.0,1.0,24.0,2017.0
18 Apr,ICM/The Guardian,1000,46.0,25.0,8.0,11.0,4.0,4.0,1.0,21.0,2017.0
14–17 Apr,ICM/The Guardian,2052,44.0,26.0,11.0,10.0,4.0,4.0,1.0,18.0,2017.0
12–13 Apr,YouGov/The Times,2069,44.0,23.0,10.0,12.0,6.0,4.0,1.0,21.0,2017.0
11–13 Apr,"ComRes/Sunday Mirror, Independent on Sunday",2026,46.0,25.0,9.0,11.0,4.0,4.0,2.0,21.0,2017.0
11–13 Apr,Opinium/Observer,2002,38.0,29.0,14.0,7.0,5.0,5.0,1.0,9.0,2017.0
5–6 Apr,YouGov/The Times,1651,42.0,25.0,11.0,11.0,8.0,3.0,1.0,17.0,2017.0
31 Mar–2 Apr,ICM/The Guardian,2005,43.0,25.0,11.0,11.0,5.0,4.0,2.0,18.0,2017.0
26–27 Mar,YouGov/The Times,1957,43.0,25.0,10.0,11.0,6.0,3.0,1.0,18.0,2017.0
20–21 Mar,YouGov/The Times,1627,41.0,25.0,12.0,11.0,6.0,3.0,2.0,16.0,2017.0
17–19 Mar,ICM/The Guardian,2012,45.0,26.0,10.0,9.0,4.0,4.0,1.0,19.0,2017.0
15–17 Mar,"ComRes/Sunday Mirror, Independent on Sunday",2026,42.0,25.0,10.0,12.0,5.0,4.0,2.0,17.0,2017.0
14–17 Mar,Opinium/Observer,2007,41.0,28.0,13.0,8.0,6.0,3.0,1.0,13.0,2017.0
1–15 Mar,GfK,1938,41.0,28.0,12.0,7.0,5.0,6.0,1.0,13.0,2017.0
13–14 Mar,YouGov/The Times,1631,44.0,27.0,9.0,10.0,5.0,4.0,0.0,17.0,2017.0
10–14 Mar,Ipsos MORI,1032,43.0,30.0,6.0,13.0,4.0,4.0,,13.0,2017.0
8–9 Mar,YouGov/The Times,1598,44.0,25.0,11.0,10.0,6.0,3.0,1.0,19.0,2017.0
